error_RPA;msg_error_RPA;cup;numero_factura;contrato;direccion_suministro;fecha_emision;fecha_inicio_periodo;fecha_fin_periodo;estado_factura;importe_total;tipo_factura;descarga_selector;mes_facturado;tarifa;num_dias;potencia_p1;potencia_p2;potencia_p3;potencia_p4;potencia_p5;potencia_p6;termino_de_potencia_peaje;termino_de_potencia_cargos;importe_de_potencia;termino_de_energia_peaje;termino_de_energia_cargos;importe_atr;importe_exceso_potencia;importe_subtotal;importe_impuesto_electrico;importe_alquiler_equipos;importe_otros_conceptos;importe_reactiva;importe_base_imponible;importe_facturado;fecha_factura;fecha_de_vencimiento
False;;ES0031105096241001MG0F;171251N126634259;N/A;N/A;30/10/2025;N/A;N/A;Normal;421.23;De ciclo;171251N126634259;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104221318001BV0F;171251N126470281;N/A;N/A;28/10/2025;N/A;N/A;Normal;495.91;De ciclo;171251N126470281;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104864120001AH0F;171251N119447285;N/A;N/A;10/10/2025;N/A;N/A;Normal;638.54;De ciclo;171251N119447285;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104250774001KD0F;171251N119269677;N/A;N/A;09/10/2025;N/A;N/A;Normal;623.53;De ciclo;171251N119269677;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104671434001DZ0F;171251N116828701;N/A;N/A;06/10/2025;N/A;N/A;Normal;2218.56;De ciclo;171251N116828701;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104221318001BV0F;171251N117061035;N/A;N/A;06/10/2025;N/A;N/A;Normal;832.08;De ciclo;171251N117061035;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031105096241001MG0F;171251N114113341;N/A;N/A;01/10/2025;N/A;N/A;Normal;558.5;De ciclo;171251N114113341;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104008205001DA0F;171251N114219932;N/A;N/A;01/10/2025;N/A;N/A;Normal;2210.29;De ciclo;171251N114219932;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104267149001NK0F;171251N114224572;N/A;N/A;01/10/2025;N/A;N/A;Normal;1707.21;De ciclo;171251N114224572;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104137941001TH0F;171251N114226484;N/A;N/A;01/10/2025;N/A;N/A;Normal;747.78;De ciclo;171251N114226484;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031101458929002AM0F;171251N126628599;N/A;N/A;30/10/2025;N/A;N/A;Normal;616.45;De ciclo;171251N126628599;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104000278001BE0F;171251N126487198;N/A;N/A;28/10/2025;N/A;N/A;Normal;410.98;De ciclo;171251N126487198;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031101458955003YQ0F;171251N126488898;N/A;N/A;28/10/2025;N/A;N/A;Normal;504.09;De ciclo;171251N126488898;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031101458955003YQ0F;171251N113979501;N/A;N/A;01/10/2025;N/A;N/A;Normal;775.72;De ciclo;171251N113979501;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031105044684001EB0F;171251N114069348;N/A;N/A;01/10/2025;N/A;N/A;Normal;1832.23;De ciclo;171251N114069348;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104000278001BE0F;171251N114312323;N/A;N/A;01/10/2025;N/A;N/A;Normal;668.44;De ciclo;171251N114312323;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031101458929002AM0F;171251N114439664;N/A;N/A;01/10/2025;N/A;N/A;Normal;774.62;De ciclo;171251N114439664;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104396668001EH0F;171251N114446332;N/A;N/A;01/10/2025;N/A;N/A;Normal;830.3;De ciclo;171251N114446332;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
False;;ES0031104784411001NW0F;171251N114451096;N/A;N/A;01/10/2025;N/A;N/A;Normal;1694.85;De ciclo;171251N114451096;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
